2.114749924413255808e-02,9.993294775485992432e-01,6.487821342759046983e-01,9.050039577797867052e-01
3.857614014451751783e-02,9.987376034259796143e-01,6.226761590069080921e-01,9.208589561026447878e-01
3.679980485847425542e-02,9.991841092705726624e-01,6.247234845159407302e-01,9.205392501707295727e-01
2.070945818766097707e-02,9.984828680753707886e-01,6.496911624079101388e-01,8.871815981248473149e-01
3.358725017491483861e-02,9.988773763179779053e-01,6.286905911737349362e-01,8.404421793930889617e-01
9.882656174630433110e-02,9.980058185756206512e-01,5.818206674686265956e-01,7.799753756246571301e-01
1.573218171340797101e-09,1.000000000000000000e+00,1.361629140681475558e+00,9.999999960087058160e-01
1.278036369508491199e-01,9.953415095806121826e-01,5.706537148006325388e-01,6.548276438882766337e-01
2.041317266432620195e-02,9.992363154888153076e-01,6.503169851814345481e-01,9.136721860761936043e-01
1.264657560973122818e-01,9.960788302123546600e-01,5.711107415998579739e-01,6.755905033390174896e-01
4.053749244067181767e-04,9.999855160713195801e-01,8.205223480173000628e-01,9.973649237767187037e-01
8.917941296257540784e-02,9.976593069732189178e-01,5.862815751656220709e-01,7.950572671472189157e-01
1.337499360104127955e-01,9.958318844437599182e-01,5.686786777952821392e-01,6.737767254657541782e-01
3.033157233608088036e-03,9.998907595872879028e-01,7.331185436901320740e-01,9.882894596261568854e-01
3.818118740771460243e-04,9.999907724559307098e-01,8.231230930351398634e-01,9.990796975209773612e-01
6.756301475097719993e-03,9.998209998011589050e-01,6.983371340743034228e-01,9.861363215348184497e-01
2.019954692087229386e-02,9.993204623460769653e-01,6.507738732608010501e-01,9.139911164899978679e-01
3.485150582614020276e-02,9.986194670200347900e-01,6.270858813502602214e-01,9.134360920783440863e-01
1.803414174619310856e-04,9.999906346201896667e-01,8.556984882012895754e-01,9.993420879211951657e-01
5.324854880465636903e-02,9.984975755214691162e-01,6.086772584526485286e-01,8.726876425156446793e-01
